# Col. 1: ID in CANDELS multi-wavelength catalog (Guo et al. 2013)
# Col. 2: RA
# Col. 3: DEC
# Col. 4: Number of blobs with UV Luminosity L_blob/L_galaxy>0.01
# Col. 5: Number of blobs with UV Luminosity L_blob/L_galaxy>0.05
# Col. 6: Number of blobs with UV Luminosity L_blob/L_galaxy>0.08
# Col. 7: Number of blobs with UV Luminosity L_blob/L_galaxy>0.10
6634 53.1761254 -27.8489485  1 1 1 0 
6652 53.0365730 -27.8495889  0 0 0 0 
6655 53.0627265 -27.8489162  3 2 1 0 
6657 53.0498847 -27.8478588  0 0 0 0 
6714 53.1035347 -27.8479448  3 3 2 1 
6747 53.0742295 -27.8479986  0 0 0 0 
6752 53.0763996 -27.8486643  1 1 1 1 
6770 53.0832469 -27.8479947  8 0 0 0 
6773 53.1357286 -27.8483135  5 1 0 0 
6821 53.2291751 -27.8476775  3 3 3 2 
6854 53.1423863 -27.8462859  2 1 0 0 
6887 53.2285191 -27.8463438  1 1 1 1 
6961 53.1997931 -27.8452360  0 0 0 0 
6980 53.2300152 -27.8452039  1 1 0 0 
6997 53.2148657 -27.8457374  4 4 4 3 
7025 53.0637197 -27.8446244  0 0 0 0 
7034 53.1020377 -27.8461169  3 2 2 2 
7036 53.0418329 -27.8448728  0 0 0 0 
7047 53.0405550 -27.8443987  0 0 0 0 
7079 53.0896852 -27.8446014  4 0 0 0 
7127 53.1018778 -27.8438563  2 2 2 1 
7141 53.0627804 -27.8450075  4 1 1 1 
7143 53.1258684 -27.8436967  1 0 0 0 
7145 53.2277327 -27.8436760  1 0 0 0 
7153 53.1796798 -27.8438800  1 1 1 1 
7155 53.1739414 -27.8433270  0 0 0 0 
7183 53.1154940 -27.8446661  3 1 0 0 
7184 53.0716940 -27.8436313  0 0 0 0 
7195 53.1618831 -27.8458399  5 0 0 0 
7209 53.1421745 -27.8428208  2 2 2 2 
7230 53.1506671 -27.8436336  1 1 1 1 
7243 53.1018424 -27.8428000  2 1 0 0 
7246 53.1988640 -27.8439117  1 0 0 0 
7267 53.1001751 -27.8427231  2 1 0 0 
7273 53.0498721 -27.8427405  3 2 1 1 
