# no.  UserID Distance DBSource ALPHA_GR_DEC_ORDER DELTA_GR_DEC_ORDER redshift redshift_err FAST_bc03_lmass FAST_ma05_lmass
# start data
  131  10940                      0.00 10940  53.07976190 -27.80993590  0.00000  0.0000  9.400  9.400
  132  1095                       0.00 1095  53.09125330 -27.91574350  0.00000  0.0000  9.630  9.630
  133  10954                      0.00 10954  53.08653180 -27.81021740  0.00000  0.0000 11.340 11.340
  134  10960                      0.00 10960  53.03531900 -27.80989960  0.00000  0.0000  9.580  9.580
  135  10962                      0.00 10962  53.10785840 -27.80992020  0.00000  0.0000  9.570  9.570
  136  10973                      0.00 10973  53.18582930 -27.80996560  2.58300  4.0000 10.020 10.020
  137  10987                      0.00 10987  53.09351720 -27.80971180  9.99990  0.0001  9.830  9.830
  138  11003                      0.00 11003  53.02929630 -27.80960250  0.00000  0.0000  9.270  9.270
  139  11006                      0.00 11006  53.16941840 -27.81031810  0.00000  0.0000 10.030 10.030
  140  11023                      0.00 11023  53.04874000 -27.80932440  9.99990  0.0001  9.200  9.200
  141  11027                      0.00 11027  53.17229640 -27.80974050  0.00000  0.0000  9.290  9.290
  142  1103                       0.00 1103  53.14830930 -27.91549140  9.99990  0.0001  9.430  9.430
  143  11031                      0.00 11031  53.02319930 -27.80935570  0.00000  0.0000  9.620  9.620
  144  11044                      0.00 11044  53.04496880 -27.80911890  0.00000  0.0000  9.090  9.090
  145  11046                      0.00 11046  53.06555760 -27.80915340  0.00000  0.0000  9.430  9.430
  146  11057                      0.00 11057  53.13826170 -27.80932800  0.00000  0.0000  9.810  9.810
  147  11061                      0.00 11061  53.07903990 -27.80949120  0.00000  0.0000  9.430  9.430
  148  11071                      0.00 11071  53.09355180 -27.80928690  2.33420  3.0000 10.170 10.170
  149  11072                      0.00 11072  53.12672550 -27.80885460  0.00000  0.0000 10.010 10.010
  150  11079                      0.00 11079  53.16322000 -27.80898670  0.00000  0.0000 10.650 10.650
  151  11080                      0.00 11080  53.15492640 -27.80939970  0.85220  1.0000 10.180 10.180
  152  1109                       0.00 1109  53.13909930 -27.91525720  2.52340  4.0001  9.320  9.320
  153  11091                      0.00 11091  53.13237310 -27.80906740  0.00000  0.0000 10.140 10.140
  154  11104                      0.00 11104  53.15714620 -27.80880780  0.00000  0.0000  9.470  9.470
  155  11119                      0.00 11119  53.22671450 -27.80855300  0.00000  0.0000  9.830  9.830
  156  11123                      0.00 11123  53.12880410 -27.80895090  1.88410  4.0001  9.920  9.920
  157  11128                      0.00 11128  53.18367530 -27.80840680  0.00000  0.0000  9.230  9.230
  158  11132                      0.00 11132  53.10115500 -27.80855730  0.00000  0.0000 11.120 11.120
  159  11142                      0.00 11142  53.09276180 -27.80911110  9.99990  0.0001 10.160 10.160
  160  11143                      0.00 11143  53.21553700 -27.80883050  0.00000  0.0000  9.460  9.460
  161  11146                      0.00 11146  53.09993360 -27.80844570  0.00000  0.0000 10.480 10.480
  162  11160                      0.00 11160  53.10593860 -27.80840080  2.78510  1.0000  9.980  9.980
  163  11161                      0.00 11161  53.17484940 -27.80797160  0.00000  0.0000  9.140  9.140
  164  11165                      0.00 11165  53.06363280 -27.80825090  0.00000  0.0000  9.910  9.910
  165  11173                      0.00 11173  53.16828940 -27.80819850  0.00000  0.0000  8.850  8.850
  166  11179                      0.00 11179  53.03512350 -27.80799120  0.00000  0.0000  9.350  9.350
  167  1118                       0.00 1118  53.18357210 -27.91507730  0.90800  1.0000 10.390 10.390
  168  1119                       0.00 1119  53.16905250 -27.91584580  0.00000  0.0000 11.120 11.120
  169  11203                      0.00 11203  53.13372060 -27.80788140  0.00000  0.0000  9.570  9.570
  170  11204                      0.00 11204  53.16473670 -27.80790990  2.81870  3.0000  9.710  9.710
  171  1121                       0.00 1121  53.14868850 -27.91541610  0.00000  0.0000 10.440 10.440
  172  11210                      0.00 11210  53.17366240 -27.80824170  0.00000  0.0000  9.980  9.980
  173  11218                      0.00 11218  53.10602190 -27.80794620  0.00000  0.0000 10.000 10.000
  174  11219                      0.00 11219  53.19857120 -27.80760140  0.00000  0.0000  9.200  9.200
  175  11228                      0.00 11228  53.03486270 -27.80760360  0.00000  0.0000  9.510  9.510
  176  11238                      0.00 11238  53.07817140 -27.80807860  0.00000  0.0000  9.510  9.510
  177  11240                      0.00 11240  53.12009660 -27.80827310  0.00000  0.0000 11.290 11.290
  178  11241                      0.00 11241  53.07088340 -27.80744100  0.00000  0.0000  9.280  9.280
  179  11242                      0.00 11242  53.11051230 -27.80738510  0.00000  0.0000  9.170  9.170
