# ID_1   ID_2   R1/2_cir   R1/2_ell   Rpet_cir   Rpet_ell   C           A       G      M20    
  11842  4361   0.24       0.25       0.52       0.53       2.27        -0.01   0.44   -1.57  
  11894  4400   0.25       0.29       0.53       0.55       2.39        0.26    0.45   -1.24  
  11923  4419   0.18       0.2        0.43       0.46       2.8         0.03    0.51   -1.76  
  11943  4426   0.19       0.21       0.51       0.53       2.93        0.03    0.56   -1.58  
  11959  4430   0.25       0.26       0.52       0.54       2.59        0.05    0.45   -1.54  
  12000  4445   0.17       0.17       0.38       0.39       2.69        0.08    0.49   -1.69  
  12002  4444   0.23       0.27       0.53       0.55       2.99        0.03    0.49   -1.66  
  12146  4523   0.23       0.23       0.51       0.51       2.56        0.14    0.49   -1.4   
  12206  4564   0.19       0.23       0.41       0.53       2.53        0.08    0.5    -1.31  
  12207  4563   0.27       0.31       0.59       0.69       2.67        0.03    0.51   -1.57  
  12210  4528   0.31       0.35       0.77       0.96       2.96        0.01    0.51   -1.6   
  12239  4573   0.39       0.42       0.87       1.25       3.29        -0.27   0.56   -0.95  
  12291  4613   0.27       0.32       0.65       0.73       2.8         0.13    0.51   -1.47  
  12337  4602   0.18       0.19       0.4        0.42       2.58        0.01    0.46   -1.57  
  12448  4662   0.17       0.18       0.36       0.37       2.79        0.06    0.45   -1.68  
  12451  4639   0.54       0.66       1.24       1.36       3.02        0.13    0.44   -0.83  
  12470  4671   0.21       0.22       0.41       0.45       2.39        -0.02   0.46   -1.47  
  12511  4726   0.25       0.29       0.59       0.65       2.69        0.15    0.5    -1.71  
  12516  4716   0.36       0.42       0.83       1.01       2.79        -0.05   0.5    -1.59  
  12543  4741   0.24       0.27       0.5        0.52       2.52        0.04    0.43   -1.5   
  12550  4746   0.2        0.22       0.41       0.47       2.81        0.06    0.48   -1.67  
  12567  4700   0.16       0.16       0.35       0.37       2.7         0.03    0.49   -1.73  
  12624  4695   0.48       0.54       1.13       1.2        2.75        0.28    0.47   -1.61  
  12670  4762   0.42       0.54       0.99       1.2        2.21        0.24    0.46   -0.98  
  12672  4798   0.23       0.36       0.96       1.01       -Infinity   0.19    0.58   -1.78  
  12699  4825   0.16       0.18       0.38       0.43       2.55        -0.04   0.5    -1.7   
  12743  4760   0.31       0.33       0.64       0.67       2.62        0.06    0.46   -1.7   
  12751  4752   0.16       0.17       0.37       0.39       2.7         0.05    0.49   -1.66  
  12752  4858   0.16       0.17       0.37       0.4        2.93        0.05    0.52   -1.62  
  12770  4856   0.22       0.24       0.48       0.51       2.6         0.02    0.48   -1.65  
  12796  4869   0.22       0.26       0.47       0.54       2.53        -0.0    0.48   -1.41  
  12799  4848   0.27       0.32       0.52       0.67       2.29        -0.04   0.47   -1.29  
  12809  4830   0.17       0.17       0.42       0.43       2.89        0.04    0.56   -1.67  
  12839  4870   0.25       0.28       0.53       0.54       2.39        0.09    0.43   -1.59  
  12855  4897   0.42       0.6        1.01       1.22       3.39        0.05    0.41   -1.48  
  12858  4822   0.41       0.41       0.99       1.02       3.4         0.22    0.46   -1.42  
  12893  4877   0.36       0.42       1.02       1.08       5.68        0.07    0.52   -1.36  
  12938  4938   0.32       0.29       0.87       1.0        3.91        0.1     0.53   -0.81  
  12988  4967   0.18       0.18       0.38       0.4        2.55        0.08    0.49   -1.66  
  12999  4968   0.25       0.29       0.51       0.63       2.47        0.01    0.49   -1.67  
  13047  4987   0.32       0.37       0.73       0.8        2.76        0.06    0.52   -1.23  
  13061  4992   0.36       0.35       0.72       0.95       2.42        0.19    0.52   -1.29  
  13066  4978   0.19       0.2        0.4        0.43       2.5         -0.01   0.46   -1.57  
  13073  4966   0.18       0.19       0.42       0.44       2.64        0.06    0.49   -1.67  
  13152  4972   0.44       0.47       0.86       1.37       2.52        -0.15   0.46   -1.19  
