#ID RA DEC
15656 53.0739969 -27.7777951
15750 53.1727984 -27.7763584
15766 53.1833664 -27.77611
15768 53.1833576 -27.7763826
15778 53.1304511 -27.7758809
15789 53.1538187 -27.7763367
15798 53.1600765 -27.7763563
15903 53.1305542 -27.7752126
15939 53.2038771 -27.7747849
15972 53.1595841 -27.7745731
16065 53.0522028 -27.7747699
16082 53.1833402 -27.7737757
16132 53.1441667 -27.7735519
16146 53.1987562 -27.7734031
16150 53.1507432 -27.7743444
16151 53.1584438 -27.7739679
16160 53.0781377 -27.7742133
16179 53.1639164 -27.7732174
16274 53.1310797 -27.773108
16277 53.1641949 -27.7729049
16280 53.0966979 -27.7723382
16281 53.1528773 -27.7724983
16328 53.0745564 -27.7724426
16338 53.0444591 -27.7717821
16346 53.1487142 -27.7729468
16428 53.2022045 -27.7711945
16430 53.1937948 -27.7712904
16437 53.1478141 -27.7713623
16444 53.1446546 -27.7711112
16486 53.2070942 -27.771283
16490 53.1316223 -27.7708717
16522 53.2034037 -27.7703306
16527 53.1560472 -27.7709472
16579 53.2010563 -27.7705086
16586 53.0469486 -27.7707033
16601 53.1135221 -27.7700281
16604 53.0730619 -27.7704602
16629 53.1544632 -27.7714349
16641 53.2290967 -27.7695828
16645 53.1514047 -27.7709887
16680 53.1442419 -27.7690585
16732 53.1522834 -27.7700851
16777 53.0953104 -27.7686668
16818 53.195221 -27.7678645
16827 53.1699386 -27.7683337
16841 53.1955206 -27.7680032
16844 53.0453957 -27.7681624
16899 53.0462976 -27.7673186
16905 53.0656058 -27.7678661
16934 53.1655647 -27.7697908
16970 53.1117888 -27.7671805
16985 53.0939231 -27.7677224
17027 53.153815 -27.7673086
17158 53.0962201 -27.766137
17172 53.1477776 -27.7656201
17227 53.1638739 -27.7653182
17255 53.1880661 -27.7646789
17284 53.1649178 -27.7651151
17338 53.1901118 -27.7640951
17354 53.0975043 -27.763926
17374 53.1721669 -27.7636447
17420 53.0343237 -27.7638417
17456 53.1474107 -27.763221
17488 53.0840687 -27.7636976
17673 53.14109 -27.7618482
17688 53.1521619 -27.7611656
17793 53.1676869 -27.7599315
17810 53.2062227 -27.7601994
17813 53.2242976 -27.7598852
17824 53.1722644 -27.7606224
17857 53.2062149 -27.7595009
17864 53.1003985 -27.7597631
17879 53.1411875 -27.7592428
17926 53.156738 -27.7589355
17937 53.1027626 -27.7593336
17973 53.1914751 -27.758522
17987 53.1652647 -27.7582955
18023 53.0905117 -27.7582571
18092 53.0138323 -27.7573587
18109 53.0371039 -27.7572421
18176 53.2189171 -27.7569345
18182 53.0139245 -27.7568165
18262 53.1512438 -27.755934
18320 53.013515 -27.7552331
18334 53.1503137 -27.7554931
18353 53.0994125 -27.7550251
18393 53.1028009 -27.756047
18406 53.2021641 -27.7549194
18426 53.0828728 -27.7549674
18462 53.0085913 -27.7538613
18493 53.2218942 -27.7541053
18509 53.0780465 -27.754003
18528 53.1878218 -27.7534326
18555 53.0229972 -27.753259
18609 53.1473444 -27.7534982
18691 53.1650104 -27.7518976
18705 53.1624941 -27.7519222
18882 53.0257109 -27.7505209
18936 53.0547987 -27.7503102
18980 53.0213353 -27.7504305
18991 53.0541037 -27.7499216
19051 53.0780445 -27.7496847
19104 53.1528762 -27.7492439
19149 53.1492273 -27.748589
19158 53.1938936 -27.7488334
19181 53.1105937 -27.7483843
19185 53.1264844 -27.7503101
19242 53.1937622 -27.7477866
19246 53.195443 -27.7475573
19262 53.1558189 -27.7491388
19274 53.1038531 -27.7476619
19276 53.0202879 -27.7476057
19314 53.1030673 -27.7472873
19323 53.2078637 -27.7471538
19413 53.2014646 -27.7470981
19425 53.0056418 -27.745532
19452 53.045839 -27.7498313
19494 53.1455307 -27.7451852
19498 53.1884485 -27.7451933
19504 53.1329149 -27.7458092
19520 53.2056534 -27.7449579
19548 53.0725566 -27.7444385
19549 53.0488214 -27.7456137
19630 53.0794733 -27.74419
19700 53.1949845 -27.7441628
19760 53.151297 -27.7429086
19797 53.1090119 -27.7425585
19802 53.1589172 -27.7426723
19809 53.1686572 -27.7421408
19824 53.0205794 -27.7421504
19833 53.0652325 -27.742898
19837 53.0639675 -27.7421614
19895 53.1620837 -27.7413974
19935 53.1508209 -27.7418206
19960 53.2017063 -27.7406781
20047 53.1117687 -27.7401548
20090 53.0478595 -27.7398248
20213 53.1088739 -27.7385708
20229 53.1810974 -27.7382506
20232 53.0478484 -27.7393913
20242 53.197031 -27.7381738
20253 53.1929134 -27.738362
20331 53.0953904 -27.737627
20343 53.0424586 -27.7378622
20401 53.0198402 -27.7367306
20417 53.1206151 -27.736584
20447 53.0454776 -27.7374923
20482 53.1924515 -27.7359928
20540 53.1000724 -27.7356157
20558 53.1708892 -27.73565
20568 53.0988163 -27.7365907
20628 53.1026958 -27.7354577
20659 53.1828388 -27.7349113
20672 53.1812832 -27.7341712
20790 53.1744481 -27.7332998
20792 53.0034534 -27.73347
20825 53.194143 -27.7333014
20831 53.0344919 -27.7334466
20834 53.1882684 -27.7337201
20861 53.1713081 -27.7329443
20884 53.0650061 -27.7326907
20905 53.1862944 -27.7336404
20936 53.1178322 -27.734301
21007 53.132624 -27.7322948
21098 53.1313598 -27.7307951
21103 53.0780132 -27.731026
21236 53.1818082 -27.7299209
21299 53.1722795 -27.7289391
21331 53.0467149 -27.7286995
21355 53.1773276 -27.7282356
21357 53.0442858 -27.7282001
21398 53.0145449 -27.7279195
21459 53.1857732 -27.7273466
21470 53.0914316 -27.727435
21527 53.0432933 -27.7271258
21564 53.1810888 -27.7268127
21568 53.0729921 -27.7268059
21624 53.090249 -27.7262749
21679 53.1809017 -27.7262834
21728 53.1773256 -27.7255612
21735 53.0628228 -27.7264618
21786 53.0182278 -27.7253215
21819 53.1251338 -27.7246933
21852 53.1888382 -27.725581
21891 53.0203681 -27.7246771
21897 53.142011 -27.7245651
21922 53.1745158 -27.7253593
21923 53.1926705 -27.7239803
21937 53.0065886 -27.7241686
22079 53.1619602 -27.722659
22123 53.1228269 -27.7228044
22236 53.10911 -27.7214939
22376 53.0656809 -27.7203816
22435 53.0578649 -27.7200877
22467 53.1819515 -27.7189167
22539 53.1873668 -27.7191868
22549 53.1253127 -27.7185316
22562 53.1291357 -27.7182978
22592 53.130815 -27.7177135
22602 53.1653218 -27.7185377
22608 53.0935692 -27.7177291
22611 53.0586036 -27.7177039
22613 53.1160348 -27.7182855
22649 53.1539981 -27.7175581
22702 53.0408236 -27.7190648
22711 53.0437577 -27.7191636
22849 53.0705375 -27.6956544
22878 53.1536826 -27.7071838
22915 53.0208177 -27.7066669
