#ID ICD_VJ ICD_VJ_ERR ston_V PR alpha_VJ
7544 0.0440388690967 0.000980282420149 46.6084222011 12 2.03986567469
14147 0.0335418801777 0.000896892339027 42.9723186491 11 1.60265840574
25381 0.0456212888274 0.000652651769091 57.0220118878 8 1.32088840777
25562 0.074867872868 0.00482124278019 17.6605032155 11 1.72707202315
18316 0.347966748108 0.0291791401411 5.13311526152 11 2.5631033229
15271 0.0330659956045 0.000491940809993 63.8719480258 11 2.46169891836
26813 0.0315898989553 0.0023694556653 22.4363814069 11 2.00342200274
9807 0.00439296993549 0.00567180619321 23.7484241369 9 1.34223576134
1153 0.0793960243637 0.00118326862727 55.1997481327 6 1.58211973631
25355 0.0212898490442 0.00019380828463 117.804207965 11 1.16155492578
2570 0.0942906886923 0.0138408861073 14.1884926117 9 1.86696454338
6747 0.233825606875 0.0183599748042 5.25745565635 12 21.9613808532
20364 0.421962512265 0.00166330570505 18.4492207287 7 1.64780821799
18751 0.151689764596 0.0178562899942 6.88540327799 9 2.96018767455
17655 0.0476728027752 0.000866810885118 41.6186235032 12 2.37476946199
8453 0.0276772792352 0.00403660720887 43.9506916183 12 0.658950770034
20715 0.16523950698 0.00540528557959 13.2646255308 11 7.59784240685
19613 0.0311052521236 0.00114843475064 37.0543888693 6 1.47718581737
643 0.0345474023153 0.00825412085962 18.0304690369 7 1.39882153236
26823 0.122426965217 0.00112516562525 32.7806765778 15 1.50635719089
24259 0.0360904935812 0.000389461048163 55.170014933 6 1.78858280904
10727 0.0774309091076 0.000482786822882 82.6961934309 16 2.05954295096
1239 0.251353604763 0.0112834700252 14.9455864712 13 4.76297818958
25989 0.01759968713 0.00739114906961 12.7390586065 10 3.26877459491
26040 0.211486656401 0.022886483785 8.22158723274 14 2.12825921448
5001 0.016030420187 8.49563761322e-05 105.314596022 8 2.00493354732
15397 0.00926143976441 0.000109859767361 136.369737866 8 1.27944277435
2980 0.456918063963 0.00239743796087 23.5245167111 13 5.22413498803
16818 0.0210242413786 0.00358066052763 39.8576861865 9 0.825536560566
22704 0.0630276881167 0.0237507790872 9.6920857646 13 1.22504961401
26464 0.0356462357175 0.00145069825033 38.7647596557 21 3.60122971791
15086 0.189382836627 0.000505461625073 94.9361937143 11 0.959576681779
3669 0.163230673395 0.00223738128901 14.403673565 6 23.236669095
2236 0.0533318450877 0.00106125563493 61.7769230448 11 2.43481111477
21938 0.0169854189526 0.00103645085075 38.8315332501 11 2.77774292185
819 0.0438782221462 0.0106595639336 16.050273257 6 2.25267359387
15237 0.00917184150194 0.000343727841006 79.5018892319 8 2.72422465624
23655 0.0399181848456 0.0014922941572 35.0801441517 8 1.44278021091
24992 0.0415962192711 0.00228539166241 27.8845179218 7 2.25988369632
26236 0.0104099199686 0.00122044433266 47.9956839008 8 0.981272774878
25061 0.0149564972716 0.00464953579156 21.4393480404 8 1.02703298317
24994 0.0433064147795 0.00711584434976 15.1004709142 17 1.24360357102
10879 0.0274670074847 0.000262272160968 259.163921418 7 1.6394222341
23594 0.00836497533645 0.00229802945437 36.1701648946 7 0.94408323571
22351 0.300390220366 0.00250015220454 23.8170032319 20 1.99691000975
18869 0.0994313012538 0.0173133020493 12.0430541526 12 1.53834947569
4347 0.0410198330965 0.0057371404766 32.7579917822 7 1.18677961117
26305 0.157328247737 0.013256811103 9.66598640043 13 2.57624044009
3593 0.255171598966 0.0027841507442 39.1626891026 6 2.0487747798
5930 0.204049048471 0.0126289200616 6.50335463859 8 6.06414684181
3943 0.560711522468 0.0530921833211 3.77186165323 14 1.95979885812
14262 0.0297632618673 0.001268059236 28.378250734 7 2.12833307991
7564 0.0164738541543 0.000346012300535 55.6925101608 7 2.48129602344
23768 0.0140183069225 0.00457034376473 22.2899567578 10 1.6921008411
22604 0.101602126556 0.0104129945028 10.5827103093 14 2.557694196
18648 0.33104449896 0.0204804133145 4.39328020031 8 5.40420210688
19657 0.0437904879363 0.00111414821793 26.2708987403 11 2.59719656232
15377 0.223406012486 0.0120486980872 9.01823122744 10 7.97452384405
11629 0.0792673856528 0.000144553175153 393.201424 12 1.75670886905
22162 0.0696246122471 0.00525666760669 18.7332330156 6 1.76670898132
2667 0.104421800243 0.0379955993985 5.62328668954 8 3.05421835306
19915 0.0618528828031 0.00321050696467 16.4649056754 9 4.07097776225
10550 0.151583594217 0.00493688715407 14.9351136861 18 2.03864866118
23449 0.132625877114 0.00112806865632 58.1044661451 29 2.91536839195
10505 0.00915937665473 0.00122664302048 37.041173103 7 1.90183570607
24386 0.0772340057308 0.00166076653548 19.7578770789 6 2.95163970453
6543 0.795430798322 0.0205547665605 4.20002087072 10 1.39324051159
9835 0.0160538884485 0.000639070712279 189.950839587 7 1.47199134381
2552 0.220066834926 0.0195791202186 6.61855639652 12 6.41861508037
3745 0.122990259733 0.00633100178079 29.5490716224 11 2.38289830021
3032 0.0386282907933 0.00207301532766 45.3543201764 16 1.51190953269
26307 0.052863953755 0.00886240270445 16.1281728818 20 1.56837477023
22596 0.0359836174724 0.00178974580071 36.0895274943 7 1.3554215163
17854 0.0591456020675 0.00145565250035 28.5402233408 6 1.36090551419
5365 0.0669360704064 0.0017864325133 37.3925098374 14 1.87790536158
5130 0.0324282109196 0.0117634506415 16.9658522136 15 1.63476363764
10908 0.739714162633 0.0109273247485 3.4717800741 17 2.26702327885
16877 0.0338105409651 0.0042852825169 29.4188407691 13 1.62129461869
2498 0.0215239815202 0.000757621971118 68.0076188273 7 1.78615526557
21538 0.00924347413908 0.00409017570707 29.2429744799 9 1.15479428866
12000 0.032310473821 6.4314516088e-05 156.72376752 6 0.911366881474
7281 0.0182076576363 0.00240270814968 20.921681291 6 2.18982626127
25067 0.210112497337 0.0040120106983 13.9889404564 16 1.32803159669
23325 0.0731124304037 0.00954203326319 12.8099332727 11 2.20289555579
24255 0.114397162002 0.00265157650956 22.202937895 9 2.0073497224
16189 0.0415833703394 0.0113968942732 10.2004313763 12 1.40845852549
9408 0.014978223324 0.0041555801795 17.9177628622 9 2.01609207631
8445 0.0239209908723 0.00193363960197 22.0543947709 8 2.37117906865
3441 0.0245419776523 0.0024416401309 27.5970510034 8 1.82573434756
24367 0.761994455647 0.00701007813745 5.07445991838 13 3.97022457424
23275 0.0246468626353 0.00162999147199 33.6009213038 11 1.77163685079
25849 0.0423188354358 0.00451002188463 16.9326955317 14 1.96073293918
2138 0.02269911551 0.00580490742373 31.4881562197 8 1.68630451938
4097 0.0483009774297 0.00152343758206 42.5369089455 15 1.38593041964
10257 0.0160523432813 0.00218950549505 17.4767579468 6 1.97269479461
6730 0.022071839986 0.000817452009521 53.7627203229 9 1.49096458358
8184 0.00844106862762 0.00148547168443 25.9093791292 9 2.85952375149
6961 0.126351164556 0.00476558176003 11.1629395547 12 5.1970014172
4543 0.121448698052 0.00659205150336 17.4994877017 19 2.40680362096
19519 0.0203243209762 0.00229983806756 19.6734715657 7 1.97692084692
4047 0.110951248573 0.0194712151981 8.82263376785 12 1.71133689145
4418 0.0537122656693 0.00599235202772 30.5946759002 15 1.6254029152
13751 0.374888225622 0.0008346690299 53.8064392477 23 3.24501416385
1438 0.00786612259385 0.00195278197195 56.2433604375 9 1.91154351019
7705 0.206170631751 0.00235832563859 26.7245243501 19 3.98751640779
3001 0.0869640496491 0.0192714610869 12.1966517592 12 1.36167715032
3746 0.0545600180025 0.000543416164803 76.7202163953 6 1.75081712671
14258 0.0133350652177 0.000253116565687 63.2067431273 7 6.54441321383
3348 0.00761235105615 0.00373696606391 26.6101006324 7 2.1185235469
6617 0.0380320382712 0.000635215680568 50.2163516216 7 1.53178401299
7638 0.0305604439358 0.00134725258607 39.3989761189 15 2.21990131874
4331 0.0934536435818 0.000816279660532 46.1838513391 13 3.06451337148
4553 0.0194776824044 0.00286222014983 25.0634901154 7 1.27486928131
21331 0.031348365002 0.000185997625979 93.3884630559 9 1.82584117138
490 0.0269308000777 0.0147109576814 13.5117565796 7 2.24072230884
8424 0.0374768278844 0.0031795769741 21.8914425273 6 2.09736494173
4806 0.0884483128434 0.0131245548152 39.1674981636 9 1.53385564056
10171 0.0327512159617 0.000300784313259 53.593436968 6 1.93952766459
3968 0.158444233104 0.00888715542682 19.7581565652 18 1.36332468706
15401 0.051096423826 0.00163495522106 48.8879740255 10 0.82367628223
4275 0.255972495718 0.00526586265358 24.6874701562 28 2.21232793443
18458 0.0399936179376 0.00585573029645 11.1083480177 8 2.19121872944
2168 0.0376957765483 0.00324646515416 31.0725703473 9 1.53713016824
24008 0.0888734200867 0.00587937695054 26.4212861117 11 1.33018493419
3768 0.0739854467812 0.0103116420105 23.0421766216 14 1.25936651429
18262 0.00914511009047 0.000521025000538 65.4504067552 9 1.46809492867
8658 0.0555842907846 0.00933376648329 18.368130531 12 0.860711536091
19185 0.242057672038 0.000951721824141 51.2588355238 26 1.89031312686
21957 0.0188949599702 0.00171539027452 28.2097199006 8 2.06626317499
10338 0.02027942999 0.000324170382206 69.2971130886 15 2.10562988534
11975 0.0336321092604 0.000614530124124 37.8435676497 8 1.87106983513
4113 0.931145547997 0.00828527493015 1.49540227663 11 3.99359045963
8207 0.0212682208689 0.00125481756573 43.5732987557 9 1.64579802833
21703 0.0476069787484 0.00109531490282 39.604690617 7 1.37669462248
1981 0.272010225373 0.0136940572209 8.59147203812 14 3.31893769093
703 0.0268235079674 0.00752352173673 20.6855906766 10 1.51732258383
