#ID ICD_IH ICD_IH_ERR ston_I PR alpha_IH
7741 0.324178596805 0.0163128697794 8.1010811468 15 1.45086918834
21805 0.04277921272 0.00435057775245 17.5127293426 9 2.05173482738
11132 0.99967328687 0.00221596281823 0.516864665997 17 0.123911330483
6337 0.0447291069935 0.00312702582175 25.9671801081 11 1.16929978851
3804 0.115820354716 0.0103683744623 20.8602886792 10 2.08003931539
2774 0.0918427992651 0.0187217870317 10.1893486681 8 1.43338313382
12102 0.0997668485752 0.00474197275776 25.2387016645 17 2.34045470355
4837 0.00763428389923 0.00284772489803 13.0000938096 6 3.67520391467
5252 0.0805163844669 0.00482371009802 17.2077655122 8 1.40291825295
26074 0.028223134378 0.000870569636069 46.2967634624 11 1.64315068876
21330 0.00615723542192 0.00357052427362 14.5572705344 6 1.75226982934
11943 0.0423759468134 0.000734031983261 42.500634337 7 2.22649778147
11434 0.0316816808476 0.00182587909999 21.4425295389 8 2.15263248857
17182 0.096714575955 0.00868847106142 13.7702589998 11 1.32039907856
1811 0.0274699072755 0.00256411093943 26.2863349209 8 4.7128654406
17999 0.388899126164 0.0196436543855 4.31279073275 9 4.09333662
4686 0.707101986664 0.0177397719468 2.05761883864 12 3.53346322362
20503 0.0342027373282 0.00240741461937 26.9645724984 7 2.39500891441
22644 0.105096293949 0.00720316647632 11.2073957915 9 2.20023151996
5900 0.150863405536 0.0202001411119 6.74455645051 10 2.13413074523
13583 0.0305298378502 0.0017588088867 28.1763816201 11 2.26414516874
972 0.0837651813215 0.00791623644624 12.7031749623 6 1.17270637776
1138 0.010957874123 0.00291073474141 77.7197265461 11 1.2846801522
18926 0.498904820021 0.0490507010315 8.2787169455 15 0.59477771886
6676 0.00279683195576 0.000648128081548 40.1267968523 9 2.42863481571
4071 0.0456891761456 0.00626398893391 19.3845341484 10 1.11678031178
3037 0.244145837251 0.0317037128906 14.1020714969 14 0.732076919869
3194 0.0177472466254 0.000986921292443 36.0530839221 6 2.07249801736
6439 0.0213127933441 0.00353001750975 22.420024984 11 1.64426655942
